"Jahr","Monat","Gemeinde","Betriebe","Zimmer","Betten","Ankünfte","Logiernächte","Zimmernächte","Zimmerauslastung in %","Bettenauslastung in %"
"2024","Februar","Einsiedeln",7,205,452,1376,2942,2132,36,23
"2024","Februar","Feusisberg",5,216,421,2184,4083,3166,52,34
"2024","Februar","Freienbach",5,212,350,1886,3451,2466,40,34
"2024","Februar","Küssnacht (SZ)",6,142,265,1018,1746,1370,34,23
"2024","Februar","Ingenbohl",6,221,415,1542,2416,1492,23,20
"2024","Februar","Morschach",9,485,1417,10295,29081,10373,74,71
"2024","Februar","Schwyz",9,132,313,733,1412,668,18,17
"2024","Februar","Engelberg",26,954,1986,12043,35477,16726,60,62
"2024","Februar","Sachseln",8,239,438,783,1623,988,20,18
"2024","Februar","Sarnen",7,203,352,1567,2999,2110,36,29
"2024","Februar","Beckenried",6,103,265,1547,3140,1615,63,48
"2024","Februar","Emmetten",5,163,364,1049,2082,1126,25,21
"2024","Februar","Glarus Nord",10,299,692,2059,4433,2514,29,22
"2024","Februar","Glarus Süd",21,272,632,2475,7651,3557,49,45
"2024","Februar","Unterägeri",4,108,188,581,1214,960,31,22
"2024","Februar","Zug",9,420,730,2727,7838,6629,54,37
"2024","Februar","Haut-Intyamon",3,31,64,160,257,174,20,14
"2024","Februar","Bulle",5,224,434,2548,4386,3411,53,35
"2024","Februar","Gruyères",6,96,258,1199,1538,845,35,25
"2024","Februar","Fribourg",7,269,528,3541,4797,3581,46,31
"2024","Februar","Murten",7,127,220,800,1112,916,26,18
"2024","Februar","Plaffeien",4,99,255,985,2041,1068,37,28
"2024","Februar","Egerkingen",4,217,392,2536,3719,2538,40,33
"2024","Februar","Grenchen",4,77,163,619,1176,942,42,25
"2024","Februar","Olten",7,287,514,2683,4325,3578,43,29
"2024","Februar","Solothurn",10,306,589,3399,5734,4469,52,35
"2024","Februar","Basel",58,4548,9039,48540,89814,60177,46,34
"2024","Februar","Liestal",5,162,297,1032,1646,1284,27,19
"2024","Februar","Pratteln",5,286,645,3424,4937,3428,41,26
"2024","Februar","Schaffhausen",12,398,761,3336,6086,4723,41,28
"2024","Februar","Hundwil",4,79,187,1388,1815,1134,51,34
"2024","Februar","Gais",5,184,273,562,793,711,13,10
"2024","Februar","Teufen (AR)",4,41,73,147,364,273,24,18
"2024","Februar","Heiden",5,98,190,499,855,530,19,16
"2024","Februar","Appenzell",8,163,348,747,1181,791,20,14
"2024","Februar","Gonten",5,70,150,620,1320,1057,60,35
"2024","Februar","St. Gallen",23,1106,2077,10510,20103,14356,45,34
"2024","Februar","Rorschacherberg",3,104,188,833,1419,979,37,29
"2024","Februar","Altstätten",5,99,192,521,893,696,24,16
"2024","Februar","Buchs (SG)",6,165,295,1038,1984,1498,31,23
"2024","Februar","Bad Ragaz",13,505,1040,4867,12570,7594,52,42
"2024","Februar","Flums",6,107,214,1685,4072,1945,63,66
"2024","Februar","Quarten",10,231,554,2669,7074,3172,47,44
"2024","Februar","Walenstadt",3,46,85,308,609,405,30,25
"2024","Februar","Amden",6,89,198,801,1743,885,36,32
"2024","Februar","Rapperswil-Jona",6,195,364,1394,2666,2428,44,26
"2024","Februar","Eschenbach (SG)",4,22,42,49,100,68,11,8
"2024","Februar","Wildhaus-Alt St. Johann",20,475,1072,4346,11998,6531,48,39
"2024","Februar","Neckertal",8,120,221,333,1053,628,22,20
"2024","Februar","Uzwil",7,145,289,950,3040,2413,57,36
"2024","Februar","Wil (SG)",4,123,236,1379,2246,1804,51,33
"2024","Februar","Vaz/Obervaz",16,861,1923,12077,43463,19354,78,78
"2024","Februar","Surses",15,341,791,3770,12741,5948,60,56
