slug,name,canton,tourism_region,lat,lon,center_lat,center_lon,main_station_name,place_type,active,name_original,main_station_name_original,station_id,station_api_name,station_api_id,station_api_status
samnaun,Samnaun,GR,Graubünden,46.959995,10.399355,46.959995,10.399355,Samnaun-Ravaisch (Bergbahn),town,true,Samnaun,Samnaun-Ravaisch (Bergbahn),8530609,Samnaun-Ravaisch (Bergbahn),8530609,OK
scuol,Scuol,GR,Graubünden,46.79743,10.299567,46.79743,10.299567,Scuol (pendicularas),resort,true,Scuol,Scuol (pendicularas),8509280,Scuol (pendicularas),8509280,OK
st-moritz,St. Moritz,GR,Graubünden,46.485533,9.833532,46.485533,9.833532,St. Moritz,resort,true,St. Moritz,St. Moritz,8509253,St. Moritz,8509253,OK
surses,Surses,GR,Graubünden,46.607659,9.59219,46.607659,9.59219,Savognin (Talstation),town,true,Surses,Savognin (Talstation),8530589,Savognin (Talstation),8530589,OK
tujetsch,Tujetsch,GR,Graubünden,46.679999,8.764142,46.679999,8.764142,"Sedrun, Tgèsa Communala",town,true,Tujetsch,"Tujetsch, Zarcuns",8587602,"Sedrun, Tgèsa Communala",8587602,OK
val-muestair,Val Müstair,GR,Graubünden,46.627584,10.336447,46.627584,10.336447,"Sta. Maria Val Müstair, scoula",town,true,Val Müstair,"Sta. Maria Val Müstair, scoula",8574648,"Sta. Maria Val Müstair, scoula",8574648,OK
vals,Vals,GR,Graubünden,46.616176,9.179011,46.616176,9.179011,Vals (Talstation),town,true,Vals,Vals (Talstation),8530568,Vals (Talstation),8530568,OK
vaz-obervaz,Vaz/Obervaz,GR,Graubünden,46.696603,9.531417,46.696603,9.531417,"Vaz/Obervaz, Zorten",town,true,Vaz/Obervaz,"Vaz/Obervaz, Zorten",8574665,"Vaz/Obervaz, Zorten",8574665,OK
zernez,Zernez,GR,Graubünden,46.699551,10.093357,46.699551,10.093357,Zernez,town,true,Zernez,Zernez,8509262,Zernez,8509262,OK
clos-du-doubs,Clos du Doubs,JU,Jura,47.351082,7.148427,47.351082,7.148427,"St-Ursanne, gare",town,true,Clos du Doubs,"St-Ursanne, gare",8572034,"St-Ursanne, gare",8572034,OK
delemont,Delémont,JU,Jura,47.366235,7.347491,47.366235,7.347491,Delémont,city,true,Delémont,Delémont,8500109,Delémont,8500109,OK
porrentruy,Porrentruy,JU,Jura,47.415792,7.074079,47.415792,7.074079,Porrentruy,town,true,Porrentruy,Porrentruy,8500126,Porrentruy,8500126,OK
saignelegier,Saignelégier,JU,Jura,47.256838,6.996348,47.256838,6.996348,Saignelégier,town,true,Saignelégier,Saignelégier,8500191,Saignelégier,8500191,OK
emmen,Emmen,LU,Luzern,47.084463,8.299218,47.084463,8.299218,"Emmen, Emmenfeld",town,true,Emmen,"Emmen, Emmenfeld",8595699,"Emmen, Emmenfeld",8595699,OK
kriens,Kriens,LU,Luzern,47.032354,8.281883,47.032354,8.281883,"Kriens, Kirchbühl",town,true,Kriens,"Kriens, Kirchbühl",8589718,"Kriens, Kirchbühl",8589718,OK
luzern,Luzern,LU,Luzern,47.04826,8.301111,47.04826,8.301111,Luzern,city,true,Luzern,Luzern,8505000,Luzern,8505000,OK
meggen,Meggen,LU,Luzern,47.04821,8.371863,47.04821,8.371863,Meggen,town,true,Meggen,Meggen,8505001,Meggen,8505001,OK
sursee,Sursee,LU,Luzern,47.171687,8.109101,47.171687,8.109101,Sursee,town,true,Sursee,Sursee,8502007,Sursee,8502007,OK
vitznau,Vitznau,LU,Luzern,47.012791,8.482883,47.012791,8.482883,Vitznau,resort,true,Vitznau,Vitznau,8508464,Vitznau,8508464,OK
weggis,Weggis,LU,Luzern,47.033017,8.433924,47.033017,8.433924,Weggis,resort,true,Weggis,Weggis,8508463,Weggis,8508463,OK
la-chaux-de-fonds,La Chaux-de-Fonds,NE,Neuchâtel,47.100976,6.826334,47.100976,6.826334,La Chaux-de-Fonds,city,true,La Chaux-de-Fonds,La Chaux-de-Fonds,8504314,La Chaux-de-Fonds,8504314,OK
la-grande-beroche,La Grande Béroche,NE,Neuchâtel,46.905929,6.777856,46.905929,6.777856,"Gorgier-St-Aubin, gare",town,true,La Grande Béroche,"Gorgier-St-Aubin, gare",8570322,"Gorgier-St-Aubin, gare",8570322,OK
latena,Laténa,NE,Neuchâtel,47.024247,7.020396,47.024247,7.020396,Neuchâtel-gare (FUNI),town,true,Laténa,Neuchâtel-gare (FUNI),8530791,Neuchâtel-gare (FUNI),8530791,OK
neuchatel,Neuchâtel,NE,Neuchâtel,46.994355,6.927116,46.994355,6.927116,Neuchâtel,city,true,Neuchâtel,Neuchâtel,8504221,Neuchâtel,8504221,OK
beckenried,Beckenried,NW,Nidwalden,46.965755,8.46959,46.965755,8.46959,Beckenried (Klewenalpbahn),town,true,Beckenried,Beckenried (Klewenalpbahn),8508500,Beckenried (Klewenalpbahn),8508500,OK
emmetten,Emmetten,NW,Nidwalden,46.954835,8.513565,46.954835,8.513565,Emmetten (Talstation),town,true,Emmetten,Emmetten (Talstation),8530682,Emmetten (Talstation),8530682,OK
engelberg,Engelberg,OW,Obwalden,46.820688,8.408613,46.820688,8.408613,Engelberg,resort,true,Engelberg,Engelberg,8508399,Engelberg,8508399,OK
sachseln,Sachseln,OW,Obwalden,46.865271,8.235052,46.865271,8.235052,Sachseln,town,true,Sachseln,Sachseln,8508313,Sachseln,8508313,OK
sarnen,Sarnen,OW,Obwalden,46.895682,8.245896,46.895682,8.245896,Sarnen,town,true,Sarnen,Sarnen,8508314,Sarnen,8508314,OK
altstaetten,Altstätten,SG,St. Gallen,47.377237,9.544563,47.377237,9.544563,"Altstätten SG, Eichbergerstr.",town,true,Altstätten,"Altstätten SG, Eichbergerstr.",8587486,"Altstätten SG, Eichbergerstr.",8587486,OK
amden,Amden,SG,St. Gallen,47.149409,9.152753,47.149409,9.152753,Amden (Talstat. Niederschlag),town,true,Amden,Amden (Talstat. Niederschlag),8530491,Amden (Talstat. Niederschlag),8530491,OK
bad-ragaz,Bad Ragaz,SG,St. Gallen,47.006993,9.501391,47.006993,9.501391,Bad Ragaz,town,true,Bad Ragaz,Bad Ragaz,8509004,Bad Ragaz,8509004,OK
eschenbach,Eschenbach,SG,St. Gallen,47.241655,8.921216,47.241655,8.921216,"Eschenbach SG, Post",town,true,Eschenbach,"Eschenbach SG, Post",8506968,"Eschenbach SG, Post",8506968,OK
flums,Flums,SG,St. Gallen,47.092771,9.343089,47.092771,9.343089,Flums,town,true,Flums,Flums,8509413,Flums,8509413,OK
neckertal,Neckertal,SG,St. Gallen,47.358797,9.172091,47.358797,9.172091,"Brunnadern-Neckertal, Bahnhof",town,true,Neckertal,"Brunnadern-Neckertal, Bahnhof",8574179,"Brunnadern-Neckertal, Bahnhof",8574179,OK
quarten,Quarten,SG,St. Gallen,47.106674,9.239187,47.106674,9.239187,"Quarten, Dorf",town,true,Quarten,"Quarten, Dorf",8507627,"Quarten, Dorf",8507627,OK
rapperswil-jona,Rapperswil-Jona,SG,St. Gallen,47.228209,8.823366,47.228209,8.823366,Rapperswil SG,town,true,Rapperswil-Jona,Rapperswil SG,8503110,Rapperswil SG,8503110,OK
rorschacherberg,Rorschacherberg,SG,St. Gallen,47.471101,9.504478,47.471101,9.504478,"Rorschacherberg, Sonnenhof/MZH",town,true,Rorschacherberg,"Rorschacherberg, Sonnenhof/MZH",8506693,"Rorschacherberg, Sonnenhof/MZH",8506693,OK
st-gallen,St. Gallen,SG,St. Gallen,47.423428,9.372802,47.423428,9.372802,St. Gallen,city,true,St. Gallen,St. Gallen,8506302,St. Gallen,8506302,OK
uzwil,Uzwil,SG,St. Gallen,47.436866,9.133424,47.436866,9.133424,Uzwil,town,true,Uzwil,Uzwil,8506208,Uzwil,8506208,OK
walenstadt,Walenstadt,SG,St. Gallen,47.123793,9.315257,47.123793,9.315257,Walenstadt,town,true,Walenstadt,Walenstadt,8509414,Walenstadt,8509414,OK
wil,Wil,SG,St. Gallen,47.359563,9.072129,47.359563,9.072129,"Wil SG, Bahnhof Süd",town,true,Wil,"Wil SG, Bahnhof Süd",8578826,"Wil SG, Bahnhof Süd",8578826,OK
wildhaus-alt-st-johann,Wildhaus-Alt St. Johann,SG,St. Gallen,47.190306,9.273152,47.190306,9.273152,Wildhaus Thur (Talstation),town,true,Wildhaus-Alt St. Johann,Wildhaus Thur (Talstation),8530486,Wildhaus Thur (Talstation),8530486,OK
schaffhausen,Schaffhausen,SH,Schaffhausen,47.6963,8.6337,47.6963,8.6337,Schaffhausen,city,true,Schaffhausen,Schaffhausen,8503424,Schaffhausen,8503424,OK
egerkingen,Egerkingen,SO,Solothurn,47.321542,7.795582,47.321542,7.795582,Egerkingen,town,true,Egerkingen,Egerkingen,8500214,Egerkingen,8500214,OK
grenchen,Grenchen,SO,Solothurn,47.194315,7.394184,47.194315,7.394184,"Grenchen Nord, Bahnhof",town,true,Grenchen,"Grenchen, Bahnhof Nord Eterna",8577943,"Grenchen Nord, Bahnhof",8577943,OK
olten,Olten,SO,Solothurn,47.348877,7.906403,47.348877,7.906403,Olten,town,true,Olten,Olten,8500218,Olten,8500218,OK
solothurn,Solothurn,SO,Solothurn,47.209983,7.532267,47.209983,7.532267,Solothurn,city,true,Solothurn,Solothurn,8500207,Solothurn,8500207,OK
einsiedeln,Einsiedeln,SZ,Schwyz,47.130307,8.746316,47.130307,8.746316,Einsiedeln,town,true,Einsiedeln,Einsiedeln,8503283,Einsiedeln,8503283,OK
feusisberg,Feusisberg,SZ,Schwyz,47.185587,8.747113,47.185587,8.747113,"Feusisberg, Gemeindehaus",town,true,Feusisberg,"Feusisberg, Gemeindehaus",8503761,"Feusisberg, Gemeindehaus",8503761,OK
freienbach,Freienbach,SZ,Schwyz,47.204739,8.755872,47.204739,8.755872,"Freienbach, Bahnhof SOB",town,true,Freienbach,"Freienbach, Bahnhof SOB",8581273,"Freienbach, Bahnhof SOB",8581273,OK
ingenbohl,Ingenbohl,SZ,Schwyz,46.99978,8.607234,46.99978,8.607234,"Ingenbohl, Klosterstrasse",town,true,Ingenbohl,"Ingenbohl, Klosterstrasse",8505097,"Ingenbohl, Klosterstrasse",8505097,OK
kuessnacht,Küssnacht,SZ,Schwyz,47.08215,8.438274,47.08215,8.438274,Küssnacht am Rigi (Talstation),town,true,Küssnacht,Küssnacht am Rigi (Talstation),8530387,Küssnacht am Rigi (Talstation),8530387,OK
morschach,Morschach,SZ,Schwyz,46.981981,8.620018,46.981981,8.620018,Morschach Talstat. (Luftseilb),town,true,Morschach,Morschach Talstat. (Luftseilb),8505089,Morschach Talstat. (Luftseilb),8505089,OK
schwyz,Schwyz,SZ,Schwyz,47.024168,8.65398,47.024168,8.65398,Schwyz,town,true,Schwyz,Schwyz,8505006,Schwyz,8505006,OK
arbon,Arbon,TG,Thurgau,47.513454,9.42508,47.513454,9.42508,Arbon,town,true,Arbon,Arbon,8506308,Arbon,8506308,OK
frauenfeld,Frauenfeld,TG,Thurgau,47.555906,8.89843,47.555906,8.89843,Frauenfeld,town,true,Frauenfeld,Frauenfeld,8506100,Frauenfeld,8506100,OK
kreuzlingen,Kreuzlingen,TG,Thurgau,47.644901,9.173753,47.644901,9.173753,Kreuzlingen,town,true,Kreuzlingen,Kreuzlingen,8506131,Kreuzlingen,8506131,OK
ascona,Ascona,TI,Ticino,46.156081,8.773413,46.156081,8.773413,Ascona (lago),resort,true,Ascona,Ascona (lago),8505573,Ascona (lago),8505573,OK
bellinzona,Bellinzona,TI,Ticino,46.193885,9.025395,46.193885,9.025395,Bellinzona,city,true,Bellinzona,Bellinzona,8505213,Bellinzona,8505213,OK
chiasso,Chiasso,TI,Ticino,45.835088,9.026827,45.835088,9.026827,Chiasso,town,true,Chiasso,Chiasso,8505307,Chiasso,8505307,OK
collina-doro,Collina d'Oro,TI,Ticino,45.968584,8.899717,45.968584,8.899717,Lugano Stazione (funicolare),town,true,Collina d'Oro,Lugano Stazione (funicolare),8530462,Lugano Stazione (funicolare),8530462,OK
locarno,Locarno,TI,Ticino,46.168041,8.792858,46.168041,8.792858,Locarno,city,true,Locarno,Locarno,8505400,Locarno,8505400,OK
lugano,Lugano,TI,Ticino,46.008492,8.952366,46.008492,8.952366,Lugano,city,true,Lugano,Lugano,8505300,Lugano,8505300,OK
mendrisio,Mendrisio,TI,Ticino,45.870772,8.984199,45.870772,8.984199,Mendrisio,town,true,Mendrisio,Mendrisio,8505305,Mendrisio,8505305,OK
